symbol,valid_from,valid_to,source,source_url,notes,needs_manual_audit,referenced_document
IDFCFIRSTB,2014-01-01,,snapshot_floor,,,True,
IFCI,2014-01-01,2020-09-25,snapshot_floor,,closed by ind_prs20082020.pdf,True,ind_prs20082020.pdf
IGARASHI,2014-01-01,2018-04-02,snapshot_floor,,closed by ind_prs21022018.pdf,True,ind_prs21022018.pdf
IGL,2014-01-01,,snapshot_floor,,,True,
IIFL,2014-01-01,2017-06-23,snapshot_floor,,closed by ind_prs15062017.pdf,True,ind_prs15062017.pdf
IL&FSTRANS,2014-01-01,2019-03-29,snapshot_floor,,closed by ind_prs25022019.pdf,True,ind_prs25022019.pdf
INDHOTEL,2014-01-01,,snapshot_floor,,,True,
INDIACEM,2014-01-01,,snapshot_floor,,,True,
INDIANB,2014-01-01,,snapshot_floor,,,True,
INDIGO,2014-01-01,,snapshot_floor,,,True,
INDOCO,2014-01-01,2019-09-27,snapshot_floor,,closed by ind_prs28082019.pdf,True,ind_prs28082019.pdf
INDUSINDBK,2014-01-01,,snapshot_floor,,,True,
INDUSTOWER,2014-01-01,,snapshot_floor,,,True,
INFIBEAM,2014-01-01,2020-11-25,snapshot_floor,,closed by ind_prs18112020.pdf,True,ind_prs18112020.pdf
INFY,2014-01-01,,snapshot_floor,,,True,
INGERRAND,2014-01-01,2017-03-31,snapshot_floor,,closed by ind_prs16022017.pdf,True,ind_prs16022017.pdf
INTELLECT,2014-01-01,2020-09-25,snapshot_floor,,closed by ind_prs20082020.pdf,True,ind_prs20082020.pdf
IOB,2014-01-01,,snapshot_floor,,,True,
IOC,2014-01-01,,snapshot_floor,,,True,
IPAPPM,2014-01-01,2017-03-31,snapshot_floor,,closed by ind_prs16022017.pdf,True,ind_prs16022017.pdf
IPCALAB,2014-01-01,,snapshot_floor,,,True,
IRB,2014-01-01,,snapshot_floor,,,True,
ITC,2014-01-01,,snapshot_floor,,,True,
ITDCEM,2014-01-01,2020-06-26,snapshot_floor,,closed by ind_prs10062020.pdf,True,ind_prs10062020.pdf
J&KBANK,2014-01-01,2021-03-31,snapshot_floor,,closed by ind_prs23022021.pdf,True,ind_prs23022021.pdf
JAGRAN,2014-01-01,2021-03-31,snapshot_floor,,closed by ind_prs23022021.pdf,True,ind_prs23022021.pdf
JAICORPLTD,2014-01-01,2021-03-31,snapshot_floor,,closed by ind_prs23022021.pdf,True,ind_prs23022021.pdf
JBCHEPHARM,2014-01-01,,snapshot_floor,,,True,
JBFIND,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs28082018.pdf,True,ind_prs28082018.pdf
JCHAC,2014-01-01,2019-03-29,snapshot_floor,,closed by ind_prs25022019.pdf,True,ind_prs25022019.pdf
JETAIRWAYS,2014-01-01,2019-09-24,snapshot_floor,,closed by ind_prs17092019_1.pdf,True,ind_prs17092019_1.pdf
JINDALPOLY,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs28082018.pdf,True,ind_prs28082018.pdf
JINDALSAW,2014-01-01,2016-04-29,snapshot_floor,,closed by ind_prs22042016.pdf,True,ind_prs22042016.pdf
JINDALSTEL,2014-01-01,,snapshot_floor,,,True,
JISLJALEQS,2014-01-01,2020-06-26,snapshot_floor,,closed by ind_prs10062020.pdf,True,ind_prs10062020.pdf
JKIL,2014-01-01,2019-03-29,snapshot_floor,,closed by ind_prs25022019.pdf,True,ind_prs25022019.pdf
JKLAKSHMI,2014-01-01,2025-03-28,snapshot_floor,,closed by ind_prs21022025.pdf,True,ind_prs21022025.pdf
JKTYRE,2014-01-01,2022-03-31,snapshot_floor,,closed by ind_prs24022022_1.pdf,True,ind_prs24022022_1.pdf
JMFINANCIL,2014-01-01,,snapshot_floor,,,True,
JMTAUTOLTD,2014-01-01,2017-09-29,snapshot_floor,,closed by ind_prs28082017.pdf,True,ind_prs28082017.pdf
JPASSOCIAT,2014-01-01,2019-09-27,snapshot_floor,,closed by ind_prs28082019.pdf,True,ind_prs28082019.pdf
JPINFRATEC,2014-01-01,2017-03-31,snapshot_floor,,closed by ind_prs16022017.pdf,True,ind_prs16022017.pdf
JPPOWER,2014-01-01,2017-03-31,snapshot_floor,,closed by ind_prs16022017.pdf,True,ind_prs16022017.pdf
JSWDULUX,2014-01-01,,snapshot_floor,,,True,
JSWENERGY,2014-01-01,,snapshot_floor,,,True,
JSWHL,2014-01-01,2017-03-31,snapshot_floor,,closed by ind_prs16022017.pdf,True,ind_prs16022017.pdf
JSWSTEEL,2014-01-01,,snapshot_floor,,,True,
JUBLFOOD,2014-01-01,,snapshot_floor,,,True,
KAJARIACER,2014-01-01,,snapshot_floor,,,True,
KANSAINER,2014-01-01,2025-09-30,snapshot_floor,,closed by ind_prs22082025.pdf,True,ind_prs22082025.pdf
KARURVYSYA,2014-01-01,,snapshot_floor,,,True,
KEC,2014-01-01,,snapshot_floor,,,True,
KESORAMIND,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs28082018.pdf,True,ind_prs28082018.pdf
KOLTEPATIL,2014-01-01,2021-03-31,snapshot_floor,,closed by ind_prs23022021.pdf,True,ind_prs23022021.pdf
KOTAKBANK,2014-01-01,,snapshot_floor,,,True,
KPIL,2014-01-01,,snapshot_floor,,,True,
KPIT,2014-01-01,2018-09-28,snapshot_floor,,closed by ind_prs31082018.pdf,True,ind_prs31082018.pdf
