date,tri,tri_wealth_from_development_anchor
2020-10-05,14403.97,14567858.407079646
2020-10-06,14564.5,14730214.917825537
2020-10-07,14613.15,14779418.457648546
2020-10-08,14699.94,14867195.95448799
2020-10-09,14757.92,14925835.651074588
2020-10-12,14750.66,14918493.046776233
2020-10-13,14737.25,14904930.467762327
2020-10-14,14780.59,14948763.59039191
2020-10-15,14457.62,14622118.836915297
2020-10-16,14572.95,14738761.061946902
2020-10-19,14698.7,14865941.845764855
2020-10-20,14734.59,14902240.2022756
2020-10-21,14770.31,14938366.624525916
2020-10-22,14753.69,14921557.522123894
2020-10-23,14816.06,14984637.168141592
2020-10-26,14615.15,14781441.213653604
2020-10-27,14767.77,14935797.724399494
2020-10-28,14594.96,14761021.491782553
2020-10-29,14539.33,14704758.533501897
2020-10-30,14521.56,14686786.346396966
2020-11-02,14543.26,14708733.249051834
2020-11-03,14695.59,14862796.460176991
2020-11-04,14803.64,14972075.85335019
2020-11-05,15063.26,15234649.810366625
2020-11-06,15212.07,15385152.970922882
2020-11-09,15428.84,15604389.380530974
2020-11-10,15569.44,15746589.127686473
2020-11-11,15702.39,15881051.83312263
2020-11-12,15681.98,15860409.608091025
2020-11-13,15749.74,15928940.581542352
2020-11-14,15830.35,16010467.76232617
2020-11-17,15957.28,16138841.972187106
2020-11-18,16055.59,16238270.543615676
2020-11-19,15887.85,16068621.997471554
2020-11-20,16013.83,16196035.398230089
2020-11-23,16129.46,16312981.036662452
2020-11-24,16277.69,16462897.597977243
2020-11-25,16037.11,16219580.27812895
2020-11-26,16187.4,16371580.27812895
2020-11-27,16255.62,16440576.485461442
2020-12-01,16431.79,16618750.948166877
2020-12-02,16466.7,16654058.154235145
2020-12-03,16520.43,16708399.494311
2020-12-04,16649.76,16839201.011377998
2020-12-07,16788.33,16979347.66118837
2020-12-08,16816.26,17007595.448798984
2020-12-09,16956.62,17149552.46523388
2020-12-10,16896.14,17088384.32364096
2020-12-11,16941.77,17134533.501896333
2020-12-14,17008.25,17201769.911504425
2020-12-15,17021.37,17215039.1908976
2020-12-16,17167.23,17362558.7863464
2020-12-17,17209.96,17405774.968394436
2020-12-18,17223.02,17418983.565107457
2020-12-21,16630.4,16819620.733249053
2020-12-22,16799.49,16990634.63969659
2020-12-23,17026.8,17220530.973451328
2020-12-24,17178.02,17373471.554993678
2020-12-28,17343.97,17541309.734513275
2020-12-29,17392.96,17590857.14285714
2020-12-30,17457.65,17656283.185840707
2020-12-31,17470.79,17669572.69279393
2021-01-01,17556.56,17756318.584070798
2021-01-04,17733.95,17935726.927939318
2021-01-05,17848.06,18051135.27180784
2021-01-06,17803.92,18006493.04677623
2021-01-07,17846.66,18049719.3426043
2021-01-08,18088.64,18294452.59165613
2021-01-11,18211.34,18418548.672566373
2021-01-12,18290.03,18498134.007585336
2021-01-13,18263.91,18471716.814159293
2021-01-14,18308.29,18516601.769911505
2021-01-15,18098.51,18304434.892541084
2021-01-18,17863.35,18066599.2414665
2021-01-19,18175.28,18382078.381795198
2021-01-20,18321.73,18530194.690265488
