date,strategy,after_tax_nav,after_tax_daily_return,tax_liability,tax_paid_before_close,daily_fees_and_impact,realised_equity_exposure,nav_status,matched_before_tax_nav,matched_cost_tax_reversed_nav,after_tax_return,matched_before_tax_return,matched_cost_tax_reversed_return,zero_friction_reference_nav,zero_friction_reference_return
2015-04-24,FIXVOL,9869482.026308589,-0.021883604127320155,11863.101953953288,-0.0,0.0,0.5737834047323425,PRE_RIGHT_AUDITED,9881345.128262542,9900512.349999998,-0.021883604127320155,-0.02185790591023773,-0.021816512579206138,9871093.659685373,-0.023796734501933772
2015-04-27,FIXVOL,9664779.726308588,-0.02074093650045017,11863.101953953288,-0.0,0.0,0.56475603734062,PRE_RIGHT_AUDITED,9676642.828262541,9695810.049999997,-0.02074093650045017,-0.02071603585776116,-0.020675929968412277,9645149.846920623,-0.022889440679458903
2015-04-28,FIXVOL,9754120.32630859,0.009243935457401653,11863.101953953288,-0.0,0.0,0.5687425533430406,PRE_RIGHT_AUDITED,9765983.428262543,9785150.649999999,0.009243935457401653,0.009232602834018389,0.009214351306315205,9744910.125827236,0.01034305122159033
2015-04-29,FIXVOL,9846156.226308588,0.009435592028915307,11863.101953953288,-0.0,0.0,0.5727736865408588,PRE_RIGHT_AUDITED,9858019.328262541,9877186.549999997,0.009435592028915307,0.009424130265637043,0.009405670213161077,9847134.88771678,0.01049006718067251
2015-04-30,FIXVOL,9854441.926308589,0.0008415162028265755,11863.101953953288,-0.0,0.0,0.5731329021201782,PRE_RIGHT_AUDITED,9866305.028262543,9885472.249999998,0.0008415162028265755,0.0008405035255152349,0.0008388724823671367,9863347.009808974,0.0016463796096076973
2015-05-04,FIXVOL,9966484.966388132,0.011369800635835148,7141.418990495666,-0.0,7229.492883914449,0.6180554348673577,PRE_RIGHT_AUDITED,9973626.385378629,10000023.1,0.011369800635835148,0.010877563262909451,0.011587797436789282,9983214.320658235,0.012152802768680419
2015-05-05,FIXVOL,9983283.833274115,0.0016855357673879467,7150.246317155076,-0.0,882.9557873594048,0.6190451912628006,PRE_RIGHT_AUDITED,9990434.07959127,10017713.75,0.0016855357673879467,0.0016852139395637789,0.0017690609134692892,10001663.749188535,0.001848044921976963
2015-05-06,FIXVOL,9755504.56074476,-0.022816066970886895,7137.0786914109485,-0.0,343.6401550959997,0.6119191593657834,PRE_RIGHT_AUDITED,9762641.639436172,9790264.949999997,-0.022816066970886895,-0.022801055323555808,-0.022704661530182246,9770424.218596702,-0.023120106453348013
2015-05-07,FIXVOL,9616855.152975269,-0.014212428163624113,7236.730910071584,-0.0,565.055550832683,0.629775290743175,PRE_RIGHT_AUDITED,9624091.88388534,9652280.25,-0.014212428163624113,-0.014191830517588655,-0.014094072091480725,9630535.054714376,-0.014317614133485262
2015-05-08,FIXVOL,9722245.308284534,0.010958900142803873,8133.259596475399,-0.0,338.4160043340095,0.6371545001771834,PRE_RIGHT_AUDITED,9730378.567881009,9758905.350000001,0.010958900142803873,0.011043814344045888,0.011046622895144464,9733375.53398629,0.010678584179139094
2015-05-11,FIXVOL,9829542.908284534,0.011036298365005193,8133.259596475399,-0.0,0.0,0.6411152592546963,PRE_RIGHT_AUDITED,9837676.167881008,9866202.950000001,0.011036298365005193,0.011027073535882614,0.01099483970299997,9838585.290740525,0.010809174719178277
2015-05-12,FIXVOL,9701133.358284533,-0.013063633904255578,8133.259596475399,-0.0,0.0,0.6363648629495454,PRE_RIGHT_AUDITED,9709266.617881007,9737793.4,-0.013063633904255578,-0.013052833596946867,-0.013015093106309994,9713128.21460395,-0.012751536163908294
2015-05-13,FIXVOL,9798263.858284533,0.010012283762397045,8133.259596475399,-0.0,0.0,0.6399695895817452,PRE_RIGHT_AUDITED,9806397.117881007,9834923.9,0.010012283762397045,0.010003896671363366,0.00997459034199677,9808201.432145325,0.00978811516133709
2015-05-14,FIXVOL,9853590.858284533,0.005646612583638522,8133.259596475399,-0.0,0.0,0.6419911269891426,PRE_RIGHT_AUDITED,9861724.117881007,9890250.9,0.005646612583638522,0.005641929378845667,0.005625564626890567,9863150.099854788,0.005602318436219515
2015-05-15,FIXVOL,9896595.558284532,0.0043643683423126856,8133.259596475399,-0.0,0.0,0.6435468199636102,PRE_RIGHT_AUDITED,9904728.817881007,9933255.6,0.0043643683423126856,0.004360768916869651,0.0043481910049418815,9905513.327193556,0.004295101150229025
2015-05-18,FIXVOL,9974875.958284535,0.007909831167595138,8133.259596475399,-0.0,0.0,0.6463441778085811,PRE_RIGHT_AUDITED,9983009.217881009,10011536.000000002,0.007909831167595138,0.00790333601649773,0.007880638851174071,9979329.44017255,0.007452022983639352
2015-05-19,FIXVOL,10012988.758284533,0.003820879593830373,8133.259596475399,-0.0,0.0,0.647690310711094,PRE_RIGHT_AUDITED,10021122.017881008,10049648.8,0.003820879593830373,0.003817766684191204,0.003806888373572237,10018524.80837082,0.003927655503634043
2015-05-20,FIXVOL,10001285.208284535,-0.001168836826099029,8133.259596475399,-0.0,0.0,0.6472780362905363,PRE_RIGHT_AUDITED,10009418.467881009,10037945.250000002,-0.001168836826099029,-0.0011678881844883193,-0.0011645730346316885,10005986.247167723,-0.0012515376707575366
2015-05-21,FIXVOL,9982967.258284533,-0.0018315596064421014,8133.259596475399,-0.0,0.0,0.6466308195735055,PRE_RIGHT_AUDITED,9991100.517881008,10019627.3,-0.0018315596064421014,-0.0018300713531741453,-0.001824870483329355,9987162.832442751,-0.0018812153305029103
2015-05-22,FIXVOL,10000491.258284533,0.0017553899102951132,8133.259596475399,-0.0,0.0,0.6472500333058974,PRE_RIGHT_AUDITED,10008624.517881008,10037151.3,0.0017553899102951132,0.0017539609343972806,0.001748967249510347,10006334.381851805,0.0019196191882218192
2015-05-25,FIXVOL,9974612.858284533,-0.002587712876461201,8133.259596475399,-0.0,0.0,0.6463154251290644,PRE_RIGHT_AUDITED,9982746.117881007,10011272.9,-0.002587712876461201,-0.002585610036001107,-0.0025782614236372625,9981797.777408406,-0.0024521071860141535
2015-05-26,FIXVOL,9944778.808284532,-0.0029909982897453613,8133.259596475399,-0.0,0.0,0.6452543815911088,PRE_RIGHT_AUDITED,9952912.067881007,9981438.85,-0.0029909982897453613,-0.002988561428659664,-0.002980045624368155,9953041.544624005,-0.002880867096855369
2015-05-27,FIXVOL,9907268.808284532,-0.0037718284863965668,8133.259596475399,-0.0,0.0,0.6439112759982344,PRE_RIGHT_AUDITED,9915402.067881007,9943928.85,-0.0037718284863965668,-0.003768746246744059,-0.003757975234201849,9916402.120837608,-0.0036812288607583083
2015-05-28,FIXVOL,9894398.458284535,-0.0012990815379143594,8133.259596475399,-0.0,0.0,0.6434480859894349,PRE_RIGHT_AUDITED,9902531.717881009,9931058.500000002,-0.0012990815379143594,-0.0012980159464928143,-0.0012942922454637351,9903264.50193915,-0.0013248372482649211
2015-05-29,FIXVOL,10056915.008284533,0.016425106658598754,8133.259596475399,-0.0,0.0,0.6492098515918251,PRE_RIGHT_AUDITED,10065048.267881008,10093575.05,0.016425106658598754,0.016411616203818147,0.01636447413938802,10063022.2627849,0.016131828127428884
2015-06-01,FIXVOL,10027202.470139615,-0.002954438624612199,0.0,-0.0,11710.347741393209,0.6316944799771064,PRE_RIGHT_AUDITED,10027202.470139615,10067439.600000001,-0.002954438624612199,-0.0037601208393768237,-0.0025893154675655783,10036095.801557738,-0.0026757827344514136
2015-06-02,FIXVOL,9863641.651364611,-0.016311709997088197,0.0,-0.0,876.7187750028028,0.6220637738954279,PRE_RIGHT_AUDITED,9863641.651364611,9904755.5,-0.016311709997088197,-0.016311709997088197,-0.016159431440741057,9872949.372283444,-0.01625596571616743
2015-06-03,FIXVOL,9718345.022637574,-0.014730525891209378,0.0,-0.0,672.2787270372523,0.6293445731503837,PRE_RIGHT_AUDITED,9718345.022637574,9760131.15,-0.014730525891209378,-0.014730525891209378,-0.01460150631683943,9731065.004452514,-0.014371021513515079
2015-06-04,FIXVOL,9719431.545352377,0.00011180120815557082,0.0,-0.0,530.7272851958256,0.6419498219505996,PRE_RIGHT_AUDITED,9719431.545352377,9761748.399999999,0.00011180120815557082,0.00011180120815557082,0.00016569961767354258,9731706.144978976,6.588595659053916e-05
2015-06-05,FIXVOL,9756314.668898497,0.0037947819657988546,0.0,-0.0,332.52645388088416,0.6460266723553311,PRE_RIGHT_AUDITED,9756314.668898497,9798964.049999999,0.0037947819657988546,0.0037947819657988546,0.00381239594333338,9766270.742135828,0.0035517510128155304
2015-06-08,FIXVOL,9658901.818898495,-0.009984594932196833,0.0,-0.0,0.0,0.6424567478114888,PRE_RIGHT_AUDITED,9658901.818898495,9701551.199999997,-0.009984594932196833,-0.009984594932196833,-0.009941137604234984,9672907.808390586,-0.009559732287825608
2015-06-09,FIXVOL,9610830.218898494,-0.004976921900784359,0.0,-0.0,0.0,0.6405943097292192,PRE_RIGHT_AUDITED,9610830.218898494,9653479.599999996,-0.004976921900784359,-0.004976921900784359,-0.004955042653385311,9627173.734993955,-0.004728058439361993
2015-06-10,FIXVOL,9703839.218898494,0.009677519827278713,0.0,-0.0,0.0,0.6440391281245295,PRE_RIGHT_AUDITED,9703839.218898494,9746488.599999996,0.009677519827278713,0.009677519827278713,0.009634764235685545,9718470.02690846,0.009483187322428022
2015-06-11,FIXVOL,9588282.068898495,-0.011908394955158386,0.0,-0.0,0.0,0.6397491183428115,PRE_RIGHT_AUDITED,9588282.068898495,9630931.449999997,-0.011908394955158386,-0.011908394955158386,-0.011856285349782114,9607530.03122714,-0.011415376635843936
