date,tri,index_name,source_file,tri_return,calendar_gap_days
2013-09-20,6374.62,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.014616999372408901,1.0
2013-09-23,6265.46,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.017124157989025224,3.0
2013-09-24,6268.47,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.00048041165373335915,1.0
2013-09-25,6258.6,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0015745468990040479,1.0
2013-09-26,6265.96,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0011759818489758267,1.0
2013-09-27,6229.07,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.005887366022125917,1.0
2013-09-30,6139.75,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.014339219177180507,3.0
2013-10-01,6182.91,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.007029602182499373,1.0
2013-10-03,6308.34,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.02028656409360652,2.0
2013-10-04,6313.23,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0007751643062992031,1.0
2013-10-07,6322.54,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0014746809477874656,3.0
2013-10-08,6341.66,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.003024101073302754,1.0
2013-10-09,6419.91,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.01233904056666546,1.0
2013-10-10,6440.93,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.003274189202029376,1.0
2013-10-11,6502.92,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.009624386540453056,1.0
2013-10-14,6522.67,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.003037097180958792,3.0
2013-10-15,6485.76,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0056587256445596035,1.0
2013-10-17,6448.99,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.00566934329978297,2.0
2013-10-18,6581.65,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.020570663003043776,1.0
2013-10-21,6615.33,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.005117257830483224,3.0
2013-10-22,6625.74,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0015736176426572879,1.0
2013-10-23,6604.96,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.003136253459990801,1.0
2013-10-24,6590.36,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.002210460017926019,1.0
2013-10-25,6563.9,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0040149551769554925,1.0
2013-10-28,6512.87,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0077743414738188354,3.0
2013-10-29,6630.78,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.018104153775524434,1.0
2013-10-30,6663.25,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.004896859796283515,1.0
2013-10-31,6720.89,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.00865043334709048,1.0
2013-11-01,6746.28,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.003777773479405111,1.0
2013-11-03,6770.26,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0035545515454444843,2.0
2013-11-05,6725.77,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.006571387214080349,2.0
2013-11-06,6693.2,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.004842568211520848,1.0
2013-11-07,6647.97,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.006757604733162004,1.0
2013-11-08,6611.57,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.00547535563487811,1.0
2013-11-11,6547.83,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.009640675361525242,3.0
2013-11-12,6487.68,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.009186249490289122,1.0
2013-11-13,6456.05,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.0048753945940613885,1.0
2013-11-14,6533.65,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.012019733428334511,1.0
2013-11-18,6660.31,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.01938579507625926,4.0
2013-11-19,6675.98,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.0023527433407752874,1.0
2013-11-20,6603.6,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.010841853930059542,1.0
2013-11-21,6480.3,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.018671633654370412,1.0
2013-11-22,6481.23,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.000143511874450164,1.0
2013-11-25,6598.14,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.01803824274096133,3.0
2013-11-26,6546.54,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,-0.00782038574507371,1.0
2013-11-27,6547.53,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.00015122492186714354,1.0
2013-11-28,6588.04,NIFTY 500,NIFTY 500_Historical_TR_01012013to31122013.csv,0.006187065962278915,1.0
