membership_symbol,identity_id,canonical_symbol,aliases,observed_in_prices
FIVESTAR,ID_39fdbde06a98,FIVESTAR,FIVESTAR,True
FLFL,ID_4226da0d3e72,FLFL,FLFL,True
FLUOROCHEM,ID_5e74568700d9,FLUOROCHEM,FLUOROCHEM,True
FMGOETZE,ID_ccf13f07cfeb,FMGOETZE,FMGOETZE;GOETZEIND,True
FORCEMOT,ID_ddbb4b77bc2f,FORCEMOT,BAJAJTEMPO;FORCEMOT,True
FORTIS,ID_bce7009f0472,FORTIS,FORTIS,True
FRETAIL,ID_957a3c46e64c,FRETAIL,FRETAIL,True
FRL,ID_cade98707338,FEL,FEL;FRL;PANTALOONR,True
FSC,ID_38889a31825d,FSC,FSC,True
FSL,ID_3f33ea3b5a90,FSL,FSL,True
GABRIEL,ID_fdc9d49ef351,GABRIEL,GABRIEL,True
GAEL,ID_34a88cfb97e8,GAEL,GAEL,True
GAIL,ID_52e3db7a52b5,GAIL,GAIL,True
GALAXYSURF,ID_15d6de035abf,GALAXYSURF,GALAXYSURF,True
GALLANTT,ID_a64e8c31ba01,GALLANTT,GALLANTT,True
GAMMONIND,ID_565ae16e11d4,GAMMONIND,GAMMONIND,True
GARFIBRES,ID_8f14bef29909,GARFIBRES,GARFIBRES;GARWALLROP,True
GATI,ID_1217cc6c371f,ACLGATI,ACLGATI;GATI,True
GAYAPROJ,ID_5a72132f8944,GAYAPROJ,GAYAPROJ,True
GDL,ID_947f7e37a66c,GDL,GDL,True
GEPIL,ID_c7cf73ee0d2a,GVPIL,ABBALPO;AIL;APIL;GEPIL;GVPIL,True
GESHIP,ID_cc04bcb21bd8,GESHIP,GESHIP,True
GET&D,ID_26ba5e3d24d1,GVT&D,ALSTOMT&D;AREVA;AREVAT&D;GECALSTHOM;GET&D;GVT&D,True
GHCL,ID_5e8da71939c6,GHCL,GHCL,True
GICRE,ID_b373a52386f3,GICRE,GICRE,True
GILLETTE,ID_feff3864b6bb,GILLETTE,GILLETTE;INDSHAVING,True
GLAND,ID_1e2ea3076215,GLAND,GLAND,True
GLAXO,ID_6201548fbbc1,GLAXO,GLAXO,True
GLENMARK,ID_a6a3bee3e4fe,GLENMARK,GLENMARK,True
GLS,ID_fffbb40ff8bb,ALIVUS,ALIVUS;GLS,True
GMDCLTD,ID_13592c9eb54b,GMDCLTD,GMDCLTD,True
GMMPFAUDLR,ID_da42a7d13365,GMMPFAUDLR,GMMPFAUDLR,True
GMRAIRPORT,ID_373dfe7a8665,GMRAIRPORT,GMRAIRPORT;GMRINFRA,True
GNFC,ID_5cb17764ee10,GNFC,GNFC,True
GOCOLORS,ID_31124d908faf,GOCOLORS,GOCOLORS,True
GODFRYPHLP,ID_2d648285ea79,GODFRYPHLP,GODFRYPHLP,True
GODIGIT,ID_9421bfe0cd73,GODIGIT,GODIGIT,True
GODREJAGRO,ID_c07c243d2d5e,GODREJAGRO,GODREJAGRO,True
GODREJCP,ID_39ad3f25c49d,GODREJCP,GODREJCP,True
GODREJIND,ID_5f46b9666047,GODREJIND,GODREJIND,True
GODREJPROP,ID_fe6ce8808e6a,GODREJPROP,GODREJPROP,True
GPIL,ID_de691cd9d42e,GPIL,GPIL,True
GPPL,ID_4a742c4b3f0a,GPPL,GPPL,True
GRANULES,ID_21415ec46459,GRANULES,GRANULES,True
GRAPHITE,ID_55e7a14154ba,GRAPHITE,CARBEVFLOW;GRAPHITE,True
GRASIM,ID_d97f3ed06cf4,GRASIM,GRASIM,True
GRAVITA,ID_3b5509b34072,GRAVITA,GRAVITA,True
GREAVESCOT,ID_188f8f86aa92,GREAVESCOT,GREAVES;GREAVESCOT,True
GREENPANEL,ID_1b7d132345d5,GREENPANEL,GREENPANEL,True
GREENPLY,ID_7042ada060c4,GREENPLY,GREENPLY;MITTALLAMI,True
GRINDWELL,ID_f6985daceed2,GRINDWELL,GRINDWELL,True
GRINFRA,ID_70b67ac674ed,GRINFRA,GRINFRA,True
GROWW,ID_57f074b16354,GROWW,GROWW,True
GRSE,ID_629ef38db1ec,GRSE,GRSE,True
GSFC,ID_45bccf9efc85,GSFC,GSFC,True
GSPL,ID_4c6bb8364730,GSPL,GSPL,True
GTOFFSHORE,ID_efc56d4ef100,GTOFFSHORE,GTOFFSHORE,True
GUJALKALI,ID_296f4579859e,GUJALKALI,GUJALKALI,True
GUJFLUORO,ID_06e116c447bb,GFLLIMITED,GFLLIMITED;GUJFLUORO,True
GUJGASLTD,ID_0846732d0976,GUJENERGY,GUJENERGY;GUJGASLTD,True
GUJNRECOKE,ID_e1dce1263404,GUJNRECOKE,GUJNRECOKE,True
GULFOILLUB,ID_d1d214b446fb,GULFOILLUB,GULFOILLUB,True
GVKPIL,ID_d1cea58721cd,GVKPIL,GVKPIL,True
GVT&D,ID_26ba5e3d24d1,GVT&D,ALSTOMT&D;AREVA;AREVAT&D;GECALSTHOM;GET&D;GVT&D,True
HAL,ID_3c5b43264f8b,HAL,HAL,True
HAPPSTMNDS,ID_ddbceaacf7f8,HAPPSTMNDS,HAPPSTMNDS,True
HAPPYFORGE,ID_191a444fb407,HAPPYFORGE,HAPPYFORGE,True
HATHWAY,ID_e6ebb2d65e10,HATHWAY,HATHWAY,True
HATSUN,ID_1b1b66d1755a,HATSUN,HATSUN,True
HAVELLS,ID_a0853d591bd3,HAVELLS,HAVELLS,True
HBLENGINE,ID_dd28668259e7,HBLENGINE,HBLENGINE;HBLPOWER,True
HBLPOWER,ID_dd28668259e7,HBLENGINE,HBLENGINE;HBLPOWER,True
HCC,ID_f2c324f39518,HCC,HCC;HINDCONS,True
HCL-INSYS,ID_290776a12c8e,HCL-INSYS,HCL-HP;HCL-INSYS,True
HCLTECH,ID_5dbe595b5110,HCLTECH,HCLTECH,True
HDBFS,ID_a064d0b99042,HDBFS,HDBFS,True
HDFC,ID_98c15d30b752,HDFC,HDFC,True
HDFCAMC,ID_3685f210b40c,HDFCAMC,HDFCAMC,True
HDFCBANK,ID_f628c2fab9ad,HDFCBANK,HDFCBANK,True
HDFCLIFE,ID_62f94f57c7d4,HDFCLIFE,HDFCLIFE,True
HDIL,ID_dcde447ed8a7,HDIL,HDIL,True
HEG,ID_1e68c794cac1,HEG,HEG,True
HEIDELBERG,ID_f565a923f269,HEIDELBERG,HEIDELBERG;MYSORECEM,True
HEMIPROP,ID_a9e13944a613,HEMIPROP,HEMIPROP,True
HERITGFOOD,ID_aad8866cd46f,HERITGFOOD,HERITGFOOD,True
HEROMOTOCO,ID_f108cad644ef,HEROMOTOCO,HEROHONDA;HEROMOTOCO,True
HEXT,ID_f3a9039ce9d1,HEXT,HEXT,True
HFCL,ID_bdbc9ebe7cc9,HFCL,HFCL,True
HGS,ID_5123dd40d774,HGS,HGS;HGSL;HTMTGLOBAL,True
HIKAL,ID_8fea270eed80,HIKAL,HIKAL,True
HIMATSEIDE,ID_f0d62f005a8e,HIMATSEIDE,HIMATSEIDE,True
HINDALCO,ID_0d25b8445a90,HINDALCO,HINDALC0;HINDALCO,True
HINDCOPPER,ID_6ff2c659fd33,HINDCOPPER,HINDCOPPER,True
HINDOILEXP,ID_568ad7f0a1a8,HINDOILEXP,HINDOILEXP,True
HINDPETRO,ID_bdfea072754f,HINDPETRO,HINDPETRO,True
HINDUNILVR,ID_07ca1a34b15f,HINDUNILVR,HINDLEVER;HINDUNILVR,True
HINDZINC,ID_2a1ede441986,HINDZINC,HINDZINC,True
HLEGLAS,ID_0ee4f6932dea,HLEGLAS,HLEGLAS,True
HMVL,ID_32f3ea7117f1,HMVL,HMVL,True
HOMEFIRST,ID_91d34dd9d840,HOMEFIRST,HOMEFIRST,True
