company_name,old_symbol,new_symbol,effective_date
HALEOS LABS LIMITED,SMSLIFE,HALEOSLABS,2025-11-26
HBL Engineering Limited,HBLPOWER,HBLENGINE,2024-12-23
HCL Infosystems Limited,HCL-HP,HCL-INSYS,2000-04-12
HDFC BSE SENSEX ETF,HDFCSENETF,HDFCSENSEX,2023-06-16
HDFC Gold ETF,HDFCMFGETF,HDFCGOLD,2023-06-16
HDFC NIFTY 50 ETF,HDFCNIFETF,HDFCNIFTY,2023-06-16
HDFC NIFTY Bank ETF,HBANKETF,HDFCNIFBAN,2023-06-16
HIL Limited,HYDRBADIND,HIL,2012-10-26
HLV LIMITED,HOTELEELA,HLVLTD,2020-01-08
HSBC InvestDirect (India) Limited,INVSTSMART,HINVDIR,2009-09-07
HSIL Limited,HINDSANIT,HSIL,2009-04-27
HSIL Limited,HSIL,AGI,2022-05-11
HandsOn Global Management (HGM) Limited,HOVS,HGM,2025-09-03
Heads UP Ventures Limited,TMRVL,HEADSUP,2022-07-18
Health X Platform Limited,SASTASUNDR,HEALTHX,2026-04-30
HeidelbergCement India Limited,MYSORECEM,HEIDELBERG,2009-05-15
Hero MotoCorp Limited,HEROHONDA,HEROMOTOCO,2011-08-08
Himadri Speciality Chemical Limited,HCIL,HSCL,2016-08-16
Himadri Speciality Chemical Limited,HIMADCHEM,HCIL,2007-03-02
Hindalco Industries Limited,HINDALC0,HINDALCO,2007-08-27
Hinduja Foundries Limited,ENNOREFO,HINDUJAFO,2008-03-24
Hinduja Global Solutions Limited,HGSL,HGS,2011-11-30
Hinduja Global Solutions Limited,HTMTGLOBAL,HGSL,2009-01-23
Hinduja TMT Limited,HINDUJAFIN,HTMT,2003-01-13
Hindustan Construction Company Limited,HINDCONS,HCC,2006-07-10
Hindustan Unilever Limited,HINDLEVER,HINDUNILVR,2007-07-19
Hindware Home Innovation Limited,SHIL,HINDWAREAP,2022-06-21
Hitech Corporation Limited,HITECHPLAS,HITECHCORP,2017-05-23
Honda India Power Products Limited,SHRMHONDA,HONDAPOWER,2006-04-04
Honeywell Automation India Limited,TATAHONEY,HONAUT,2005-03-24
Hubtown Limited,AKRUTI,ACKRUTI,2009-06-30
Hubtown Limited,ACKRUTI,HUBTOWN,2011-11-15
